EdS65,"Parlor, Bedroom, and Bath",1931,Sedgwick,PN:,SU:,bnw,Comd,,|
EdS70,The Passionate Plumber,1932,Sedgwick,PN:,SU:,bnw,,,|
EdS75,Speak Easily,1932,Sedgwick,PN:,SMGM,bnw,Comd,,|
EHG15,Holiday,1930,E.H.Griffth,PN:E.B. Derr,SPathe,bnw,Romt,H*,lc,B(Philip Barry) W(Horace Jackson; AAN),|
EHG20,The Animal Kingdom,1932,E.H.Griffth,Selznick,SRKO,bnw,Dram,aw,lc,B(Philip Barry) C(Lucien Andriot) M(Steiner),|
EHG30,Next Time We Love,1936,E.H.Griffth,Paul Kohner,SUniversal,bnw,Dram,aw,lc,,|
EHG38,Safari,1940,E.H.Griffth,Anthony Veiller,SParamount,bnw,Dram,H,Africa,,|
EHG48,Young and Willing,1942,E.H.Griffith,PN:Edward H. Griffith,"SParamount, SD:U.A.",bnw,Comd,H,"NYC, NY",,|
EHG50,The Sky's the Limit,1943,E.H.Griffth,PN:,SRKO,bnw,Musc,H,"night club, NY","M(Harry~Warren, Al Dubin, Harold Arlen, Johnny Mercer; AAN) W(Frank Fenton, Lynn Root) Seen(11Feb1991)",|
PRo30,Abraham Lincoln,1925,Rosen,PN:,SU:,prc,CTxx,,"midwest; Washington, DC",|
PRo55,Sphinx,1933,Rosen,PN:,SMonogram,bnw,Susp,|
PRo80,Charlie Chan in the Secret Service,1944,Rosen,PN:,SMonogram,,"Comd, Myst",,,Ser(Charlie Chan; 31),|
PRo83,The Chinese Cat,1944,Rosen,PN:,SMonogram,,"Myst, Comd",,,Ser(Charlie Chan; 32),|
PRo86,Charlie Chan in Black Magic,1944,Rosen,PN:,SMonogram,,"Comd, Myst",,,Ser(Charlie Chan; 33),|
PRo90,The Jade Mask,1945,Rosen,PN:,SMonogram,,"Myst, Comd",,,Ser(Charlie Chan; 34),|
PRo93,The Scarlet Clue,1945,Rosen,PN:,SMonogram,,"Myst, Comd",,,Ser(Charlie Chan; 35),|
PRo96,The Red Dragon,1945,Rosen,PN:,SMonogram,,"Myst, Comd",,,Ser(Charlie Chan; 37),|
RaI50,Murder at Monte Carlo,1934,R.Ince,PN:Irving Asher,PN:Irving Asher,Warners,bnw,Susp,H,"casino, Monte Carlo",,|
RaI55,No Exit,1934,R.Ince,PU:,SU:,bnw,Susp,-H,plantation,Note(related to N.Lee: no Exit?),|
RaI60,The Man Who Made Diamonds,1937,R.Ince,PN:,SU:,prc,Ctxx,H-,lc,,|
RCS10,Camille,1921,Smallwood,PN:,SU:,prc,Dram,aw,lc,,|
RxI1,The Four Horsemen of the Apocalypse,1921,Rex~Ingram,PN:,SU:,sbw,,,Argentina; T(1916),C(J.F.Seitz) B(Vincente Blasco Ibanez) W(June Mathis),|
RxI10,Prisoner of Zenda,1922,Rex~Ingram,PN:,SU:,sbw,,,,C(J.F.Seitz),|
RxI20,Scaramouche,1923,Rex~Ingram,PN:,SU:,sbw,|
RxI30,Mare Nostrum,1926,Rex~Ingram,PN:,SU:,sbw,|
RxI40,The Garden of Allah,1927,Rex~Ingram,PN:,SU:,prc,Ctxx,aw,lc,,|
RxI50,Love in Morocco,1933,Rex~Ingram,PN:,SU:,prc,Ctxx,aw,lc,,|
SaT4,Dr.~Jack,1922,Sam~Taylor,PN:,SU:,bws,Comd,,,Er(D),|
SaT5,Grandma's Boy,1922,Sam~Taylor,PN:,SU:,bws,Comd,,,Er(D),|
SaT6,Why Worry,1923,Sam~Taylor,PN:,SU:,bws,Comd,,,Er(D),|
SaT8,Girl Shy,1924,Sam~Taylor,PN:,SU:,bws,Comd,,,CoD(Fred Newmeyer),|
SaT9,Hot Water,1924,Sam~Taylor,PN:,SU:,bws,Comd,,,CoD(Fred Newmeyer),|
SaT10,For Heaven's Sake,1926,Sam~Taylor,PN:,SU:,bws,Comd,,,,|
SaT12,My Best Girl,1927,Sam~Taylor,PN:,SU:,prc,Ctxx,aw,lc,,|
SaT13,The Woman Disputed,1927,Sam~Taylor,PN:,SU:,prc,Ctxx,aw,lc,CoD(H.King),|
SaT15,The Taming of the Shrew,1927,Sam~Taylor,PN:,SU.A.,bnw,Comd,H*,lc,B(William Shakespeare) Nt(wide screen reissue 1976),|
SaT17,Coquette,1929,Sam~Taylor,PN:Mary Pickford,SU.A.,b,w,Dram,aw,lc,C(Karl Struss) Note(First U.A. talkie),|
SaT20,The Cat's Paw,1934,Sam~Taylor,PN:,SU:,bws,Comd,aw,lc,,|
SaT23,Nothing But Trouble,1945,Sam~Taylor,B.F. Ziedman,SMGM,bnw,Comd,H,lc,,|
VMa20,The Bedbug,1929,Mayakowski,PU:,SL:\Ru,bnw,Ctxx,,,V(A.Rodchenko),|
Z2110,The Great Impersonation,1921,UnYear21,PU:,SU:,prc,Ctxx,,,,|
CBy10,Salome,1922,C.Bryant,PN:,SU:,bws,Dram,aw,lc,V(Natacha Rambova),,|
DMu2,High Speed,1922,D.Murphy,PN:,SU:,bws,Ctxx,aw,lc,,,|
DMu4,Ballet Mechanique,1922,D.Murphy,PN:Fernand Leger,SU:,bws,Surr,aw,lc,,CoD(Fernand Leger) V(Fernand Leger) M(Georges Anthueil) L(Short),|
DMu10,Emperor Jones,1933,D.Murphy,PN:,SU:,prc,CTxx,aw,lc,B(Eugene ONeil) W(Dubose Heyward),|
FNm10,Doctor Jack,1922,Newmeyer,PN:,SU:,bws,Comd,aw,lc,,|
HL2,Grand-Ma's Boy,1922,H.Lloyd,PN:,SU:,prc,Ctxx,aw,lc,,|
HL8,The Freshman,1925,H.Lloyd,PN:,SU:,prc,Comd,aw,"college, US",,|
HL20,Feet First,1930,H.Lloyd,PN:,SU:,prc,Comd,aw,lc,,|
JEp5,Coeur Fidele,1923,J.Epstein,PN:,SU:,prc,Ctxx,aw,lc,,|
JEp13,The Three Paneled Mirror,1927,J.Epstein,PN:,SU:,bws,Ctxx,aw,lc,,|
JEp15,The Fall of the House of Usher,1928,J.Epstein,PN:,SL:\Fr,bws,Horr,H,England,B(Edgar Allen Poe) CoD(Luis Bunuel),|
JEp16,Finis Terrae,1928,J.Epstein,PN:,SU:,prc,Ctxx,aw,lc,,|
JEp20,Mor Vran,1930,J.Epstein,PN:,SU:,prc,Ctxx,aw,lc,,|
JEp31,Le Tempestaire,1947,J.Epstein,PN:,SU:,prc,Ctxx,aw,lc,,|
LuB15,Waltztime in Vienna,1934,Berger,PN:,SL:\Ge,bnw,BioP,aw,lc,,|
LuB20,Pygmalion,1937,Berger,PN:Rudolf Meyer,SCinetone,bnw,Dram,aw,lc,,|
LuB21,Ergens in Nederland,1937,Berger,PN:Rudolf Meyer,SCinetone,bnw,Dram,,Holland,Nt(Last prewar Dutch film),|
SeH20,Sleeping Partners,1926,Se.Hicks,PN:,SU:,prc,Ctxx,aw,lc,Er(Hicks D?),|
SeH40,The Secret of the Loch,1934,Se.Hicks,PN:,SU:,prc,Ctxx,aw,lc,Er(Hicks D?),|
SeH48,Vintage Wine,1935,Se.Hicks,PN:,SU:,prc,Ctxx,aw,lc,Er(Hicks D?),|
SeH60,Pastor Hall,1939,Se.Hicks,PN:,SU:,prc,Ctxx,aw,lc,Er(Hicks D?),|
WR20,Silk Stockings,1927,Ruggles,PN:,SU:,prc,Ctxx,aw,lc,,|
WR31,Honey,1930,Ruggles,Selznick,SPFL,bnw,Dram,aw,lc,,|
WR40,Cimarron,1931,Ruggles,PN:Louis Sarecky,SRKO,bnw,West,"AA, AAN dir,H*","csd, OK; T(1890)",B(Edna Ferber) W(Howard Estabrook; AA) C(Edward Cronjager; AAN),|
WR42,No Man of her Own,1932,Ruggles,Zuckor,SParamount,prc,Romt,,lc,,|
WR50,Roar of the Dragon,1932,Ruggles,Selznick,SRKO,bnw,Dram,aw,lc,,|
WR60,The Monkey's Paw,1933,Ruggles,Selznick,SRKO,bnw,Dram,aw,lc,,|
WR70,I'm No Angel,1933,Ruggles,PN:,SU:,prc,Ctxx,aw,lc,,|
WR72,Shoot the Works,1934,Ruggles,PN:Gene Fowler,SParamount,bnw,Comd,H,lc,"B(Ben Hecht, Gene Fowler: `The Great Magoo')|"
WR80,Bolero,1934,Ruggles,PN:,SParamount,bnw,Romt,H*,"N.Y., NY; France; T(1910-1918)",G(Leroy ... ) M(Ravel) VT(N:HP4),|
WR86,The Gilded Lily,1935,Ruggles,PN:Albert Lewis,SParamount,bnw,Romt,H*,"parkbench, library, NYC, NY",,|
WR110,I met him in Paris,1937,Ruggles,PN:,SU:,prc,Ctxx,aw,lc,,|
WR112,True Confessions,1937,Ruggles,PN:,SParamount,bnw,,,,Seen(17Feb1988),|
WR115,Sing you Sinners,1938,Ruggles,Ruggles,SU:,prc,Ctxx,aw,lc,,|
WR120,Too Many Husbands,1938,Ruggles,Ruggles,SColumbia,bnw,"Comd,Romt",H**,"town, US",B(W.Somerset Maugham) Seen(1989)|
AGe10,Cirano de Bergerac,1923,Genina,PN:,SExtra,bws,Comd,aw,lc,B(Edmond Rostand),|
AGe20,Scampolo,1928,Genina,PN:,SNero,bws,Comd,aw,lc,B(Dario Nicodemi),|
AC5,Don Juan,1926,Crosland,PN:,SWarners,bnw,Dram,H**,Italy; T(1600),"M(William Axt) Nt(first full-lenghth film with sound) Nt(AT&T Vitaphone sound, on separate disks)",|
AC6,The Beloved Rogue,1927,Crosland,PN:,SU.A.,bws,Actn,H*,"court, France; T(1400)",V(Menzies),|
AC7,In Old San Francisco,1927,Crosland,PN:,SWarners,bnw,Ctxx,aw,"Chinatown, SF, CA",,|
AC8,The Jazz Singer,1927,Crosland,PN:,SWarners,bnw,,H***,,W(Alfred A. Cohn; AAN) Nt(sound!),|
AC9,Glorious Betsy,1928,Crosland,PN:,SWarners,bnw,,,,B(Rida Johnson Young),|
AC20,The Great Impersonation,1935,Crosland,PN:Edmund Grainger,SUniversal,bnw,Advt,H*,England; T(1917),B(E.Phillips Oppenheim) C(Krasner) M(Franz Waxman),|
BtK10,None so Blind,1923,B.King,PN:,SU:,bws,Ctxx,aw,lc,,|
CMt10,Daniel Boone,1923,Mitchell,PN:,SChronicles of America,bws,BioP,aw,West,,|
GHl7,The Big House,1930,G.Hill,,SMGM,bnw,Dram,"AAN, H**","prison, US",W(Frances Marion; AA),|
GHl8,Min and Bill,1930,G.Hill,PN:,SU:,prc,Ctxx,aw,lc,,|
GHl9,The Secret Six,1931,G.Hill,PN:,SMGM,bnw,,H*,lc,,|
GHl15,Tarzan the Fearless,1933,G.Hill,PN:Sol Lesser,SPrincipal,bnw,,,Africa,"Ser(Tarzan, 32-47)",|
GP3,Die Freudlose Gasse,1925,G.W.Pabst,"PN:Hirschel, Sofar",SL:Germany,sbw,Dram,H*,"Vienna, Austria; T(1920)",Alt(Die Freudlose Gasse; Germany) Seen(28Jun1993),|
GP4,Secrets of a Soul,1926,G.W.Pabst,PN:,SL:Germany,,,,,,|
GP6,The Love of Jeanne Ney,1927,G.W.Pabst,PN:,SL:Germany,,,,,,|
GP7,"Die Buchse der Pandora",1928,G.W.Pabst,PN:,SNero Film,bws,,H*,"Berlin, Germany; Marseille, France; London,England",Nt(Jack the Ripper) B(Wedekind) Alt(Pandora's Box; USA),|
GP9,Diary of a Lost Girl,1929,Pabst,PN:,SL:Germany,bws,"Dram, Comd",,,,|
GP11,Westfront 1918,1930,Pabst,PN:,SL:Germany,,Actn,,"Mil.inst, France",,|
GP13,Dreigroschenoper,1931,Pabst,PN:,"SGermany, SD:Warners",bnw,"Dram, Musc",H**,"London, England","M(Kurt Weil, B~Brecht) B(John Gay: `The Beggar's Opera') C(F.A. Wagner) Lang(\Ge) Alt(The Threepenny Opera; USA) Seen(5Jul1998)",|
GP14,Kamaradschaft,1931,Pabst,PN:,SL:Germany,bnw,Docu,,"mines, Germany; mines, France",,|
GP18,Feuertaufe,1933,Pabst,PN:,SL:Germany,,,,,Nt(Propaganda for Hitler),|
GP21,"Madchen in Uniform",1939,Pabst,PN:,SL:Germany,,,,,,|
GP25,Der Proze\ss,1948,Pabst,PN:,SL:Austria,,,,,B(Kafka),|
GP28,Ten Days to Die,1954,Pabst,PN:,SU:,prc,Ctxx,aw,lc,,|
GP100,"Madchen in Uniform",1957,Pabst,PN:,SL:Germany,,,,,Er(D),|
KGr10,Die Strasse,1923,Grune,PN:,SU:,prc,Ctxx,H-,,Alt(The Street; USA),|
KGr20,At the Edge of the World,1927,Grune,PN:,SU:,prc,Ctxx,aw,lc,,|
KGr30,Waterloo,1928,Grune,PN:,SU:,prc,Ctxx,aw,lc,,|
KGr40,Abdul the Damned,1935,Grune,PN:,SL:\GB,,,,,,|
KGr50,Pagliacci,1935,Grune,PN:,SL:\GB,,,,,,|
KMz10,A Paper Doll's Whisper in the Spring,1925,Mizoguchi,PN:,SU:,prc,Ctxx,aw,lc,,|
KMz20,The Gorge Between Love and Hate,1932,Mizoguchi,PN:,SU:,prc,Ctxx,aw,lc,,|
KMz25,Osaka elegy,1936,Mizoguchi,PN:,SU:,prc,Ctxx,aw,"Osaka, Japan",,|
KMz26,Sisters of the Gion,1936,Mizoguchi,PN:,SU:,prc,Ctxx,aw,"Kyoto, Japan",,|
KMz30,The Story of the Last Chrysanthemums,1939,Mizoguchi,PN:,SU:,prc,Ctxx,aw,lc,,|
KMz40,Woman of Osaka,1940,Mizoguchi,PN:,SL:Japan,,,,,,|
KMz50,The Fourty-nine Ronin,1942,Mizoguchi,PN:,SU:,prc,Ctxx,aw,lc,,|
KMz55,Utamaro and his Five Women,1946,Mizoguchi,PN:,SU:,prc,Dram,aw,lc,Lang(\Ja),|
KMz57,Women of the Night,1946,Mizoguchi,PN:,SU:,prc,Dram,aw,lc,Lang(\Ja),|
KMz60,The Life of O'Haru,1952,Mizoguchi,PN:,SU:,prc,Ctxx,aw,lc,,|
KMz70,Ugetsu Monogatari,1952,Mizoguchi,PN:,SU:,,Romt,,"town, Japan",|
KMz75,Sansho the Bailiff,1954,Mizoguchi,PN:,SU:,col,Dram,,"town, Japan; T(1600)",Lang(\Jp),|
KMz80,Streets of Shame,1956,Mizoguchi,PN:,SU:,prc,Ctxx,aw,lc,,|
MRa1,Retour \'a la raison,1923,Man~Ray,PN:,SU:,prc,Ctxx,aw,lc,Ty(dada),|
MRa2,Emak Bakia,1927,Man~Ray,PN:,SU:,prc,Ctxx,aw,lc,Ty(dada),|
MRa3,L'Etoile de mer,1929,Man~Ray,PN:,SU:,,,,,Ty(dada),|
MRa5,Dreams that Money Can Buy,1946,Man~Ray,PN:,SU:,prc,Ctxx,aw,lc,B(Man~Ray) Ty(dada) Er(D Hans Richter),|
RC1,The Crazy Ray,1923,Clair,PU:,SU:,bws,Ctxx,,lc,,|
RC2,Entr'acte,1924,Clair,PN:,SU:,prc,Ctxx,aw,lc,W(Man~Ray) Ty(dada),|
RC3,The Imaginary Voyage,1925,Clair,PU:,SU:,bws,Ctxx,,lc,,|
RC5,Un Chapeau de Paille d'Italie,1927,Clair,PN:,SAlbatross,bws,,H***,lc,Alt(An Italian Straw Hat; USA),|
RC5,Two Timid Souls,1928,Clair,PU:,SU:,prc,Ctxx,,lc,,|
RC8,Sous les Toits de Paris,1930,Clair,PN:,SU:,prc,Ctxx,aw,lc,Lang(\Fr) Alt(Under the Roofs of Paris),|
RC9,Le Million,1931,Clair,PN:,SU:,prc,"Comd, Musc",Kael,lc,,|
RC10,A nous la Libert\'e,1931,Clair,PN:,STobis,bnw,"Dram, Satire",H****,"record factory, France",V(Lazare Meerson) C(Georges Perinal) M(Georges Auric) Lang(\Fr),|
RC12,The Last Millionaire,1934,Clair,PU:,SL:France,prc,Comd,,"Casario, kingdom",W(Clair) Lang(\Fr) Nt(banned in Italy and Germany),|
RC13,The Ghost Goes West,1936,Clair,PN:,"SLondon, Goldwyn",bnw,Comd,[47],"Scotland; USA; T(1700,1900)",W(Robert E. Sherwood),|
RC16,I Married a Witch,1942,Clair,Clair,SU.A.,bnw,"Romt,Fant",,,"W(Robert Pirosh, Marc Connelly) B(Thorne Smith)",|
RC18,It Happened Tomorrow,1944,Clair,Pressburger,SU.A.,bnw,Fant,H***,,M(Robert Stolz; AAN) C(Archie Stout) W(D.Nichols),|
RC19,And Then There Were None,1945,Clair,Clair,SPopular Pictures,bnw,Susp,H****,island,W(D.Nichols) B(Agatha Christie) C(Lucien Andriot) M(Mario CastelNuevo-Tedesco) Alt(Ten Little Niggers; \GB),|
RC20,Le silence est d'or,1947,Clair,PN:,SU:,bnw,Comd,,T(1906),B(Moliere: L'ecole des femmes) Alt(Silence is Golden; US),|
RC21,La Beaut\'e du Diable,1949,Clair,PN:,SAYJM,bnw,Dram,H***,lc,M(Roman Vlad) B(Goethe: Faust),|
RC22,Les Belles de Nuit,1952,Clair,PN:,SU:,prc,Dram,aw,T(1900-1900BC),M(Georges vanParys),|
RuJ3,The Phantom of the Opera,1925,Julian,Carl Laemmle,SUniversal,"bws, Tcol",Horr,H***,"Paris, France","Nt(\Tcol sequence) B(Gaston Leroux) Nt(sound added; 1930) CoD(Sedgwick) C(Charles vanEnger, Virgil Miller) V(Dan Hall)",|
RuJ8,The Cat Creeps,1930,Julian,Laemle~jr,SUniversal,bnw,Horr,,|
TWh1,Safety Last,1923,Whelan,PN:Harold Lloyd,SU:,bws,Comd,H***,"clock, skyscaper, city",CoD(Fred Newmeyer) CoD(Sam~Taylor),|
TWh20,The Murder Man,1935,Whelan,PN:Harry Rapf,SMGM,bnw,Susp,H*,"NYC, NY",,|
TWh24,Farewell Again,1937,Whelan,PN:,SU:,prc,Ctxx,aw,lc,,|
TWh25,The Divorce of Lady X,1937,Whelan,A.Korda,SLondon,\Tcol,Comd,H**,lc,,|
TWh30,St.~Martin's Lane,1938,Whelan,PN:,SU:,prc,Ctxx,aw,lc,,|
TWh35,Q Planes,1938,Whelan,PN:,SL:\GB,prc,Ctxx,aw,lc,,|
TWh37,The Mad Doctor,1939,Whelan,PN:George Arthur,SParamount,bnw,Dram,H,lc,,|
TWh40,Twin Beds,1942,Whelan,PN:,SU:,prc,Ctxx,aw,lc,,|
TWh41,Seven Days Leave,1942,Whelan,Whelan,SRKO,bnw,Musc,H,resort,"ds{11May1991 Nt(great dance scene, Apache style)",|
TWh45,Higher and Higher,1943,Whelan,Whelan,SRKO,bnw,"Comd,Romt",H*,"town, USA","M(Jimmy McHugh, Harold Adamson, Constantin Bakaleinoff; AAN) Seen(25Sep1990)",|
TWh50,Step Lively,1944,Whelan,PN:Robert Fellows,SRKO,bnw,Musc,H*,hotel,P(George Abbott),|
TWh60,Texas Lady,1955,Whelan,PN:,SU:,prc,Dram,,lc,,|
TWh62,Rage at Dawn,1955,Whelan,PN:,SU:,prc,Dram,,lc,,|
WiB25,Little Annie Roonie,1925,Beaudine,PN:Mary Pickford,SPickford,bws,Dram,aw,lc,,|
WiB30,Sparrows,1926,Beaudine,PN:,SU:,prc,Ctxx,aw,lc,,|
WiB50,Penrod and Sam,1931,Beaudine,PN:,SU:,prc,Ctxx,aw,lc,,|
WiB100,Crazy Knights,1944,Beaudine,PN:Sam Katzman,SMonogram,bnw,Comd,aw,lc,,|
WiB180,The Chinese Ring,1947,Beaudine,PN:,SMonogram,,"Myst, Comd",,,Ser(Charlie Chan; 42),|
WiB183,The Shanghai Chest,1948,Beaudine,PN:,SMonogram,,"Myst,Comd",,,Ser(Charlie Chan; 44),|
WiB186,The Mystery of the Golden Eye,1948,Beaudine,PN:,SMonogram,,"Myst,Comd",,,Ser(Charlie Chan; 45),|
WiB190,The Feathered Serpent,1948,Beaudine,PN:,SMonogram,,"Myst,Comd",,,Ser(Charlie Chan; 46),|
WiB199,Bela Lugosi Meets a Brooklyn Gorilla,1952,Beaudine,PN:Jack Broder,SU:,bnw,Comd,H,lc,,|
HSt1,Breaking into Society,1923,Stromberg,Stromberg,SU:,prc,Ctxx,aw,lc,W(Stromberg),|
W25,The Boob,1926,Wellman,PU:,SU:,prc,Comd,,"csd, South",,|
W30,Wings,1927,Wellman,"P:B.B. Schulberg, Lucien Hubbard",SParamount,bws,Advt,"AA, H*",,W(Saunders) Nt(first Oscar) Seen(10Jul1993),|
W38,Woman Trap,1929,Wellman,PN:,SU:,prc,Dram,H-,lc,Nt(P\ne Selznick),|
W40,Chinatown Nights,1929,Wellman,Selznick,SParamount-Famous-Lasky,bnw,Dram,,|
W41,The Man I Love,1929,Wellman,J.L.Mankiewicz,SParamount-Famous-Lasky,bnw,Dram,H-,lc,"Nt(director actually Selznick, simplified for SDBD) W(J.L.Mankiewicz)",|
W50,The Public Enemy,1931,Wellman,PN:,SWarners,bnw,Actn,H***,"slums,USA","W(Harvey Thew, Kubec Glasmon, John Bright; AAN) M(; I'm Forever Blowing Bubbles)",|
W55,The Conquerors,1932,Wellman,PN:Selznick,SRKO,bnw,West,H,"town, NE; T(1870)",W(Robert Lord),|
W56,The Hatchet Man,1932,Wellman,PN:,SWarners,bnw,Dram,,lc,,|
W60,College Coach,1933,Wellman,PN:,SWarners,bnw,Dram,H*,lc,,|
W66,Call of the Wild,1935,Wellman,D.F.Zanuck,S20th Century,bnw,Advt,H*,B(Jack London),|
W70,Small Town Girl,1936,Wellman,PN:Hunt Stromberg,SMGM,bnw,Dram,aw,"town, USA",B(Ben Ames Williams),|
W73,A Star is Born,1937,Wellman,Selznick,SSelznick,\Tcol,Dram,"AAN, AAN dir, H***","Hollywood, CA",B(Dorothy Parker; AA) C(W.Howard Greene; AA) W(Wellman; AAN) Seen(2Mar1988),|
W74,Nothing Sacred,1937,Wellman,Selznick,SSelznick,\Tcol,Dram,H****,"newspaper office, USA",W(Ben Hecht) Nt(P omitted in SDBD),|
W75,Men with Wings,1938,Wellman,Wellman,SParamount,\Tcol,Epic,H,airplanes,,|
W76,Made For Each Other,1939,Wellman,Selznick,SSelznick,col,Dram,aw,"NYC, NY; airplane, West",Seen(9Aug1996),|
W77,Beau Geste,1939,Wellman,Wellman,SParamount,bnw,Actn,H**,"desert, North Africa",,|
W78,The Light That Failed,1940,Wellman,Wellman,SParamount,bnw,Dram,H*,"London, England; Sudan",B(Kipling) M(Victor Young),|
W80,Roxie Hart,1942,Wellman,PN:,SU:,prc,Ctxx,aw,lc,,|
W82,Lady of Burlesque,1943,Wellman,PN:Hunt Stromberg,SU:,bnw,"Comd,Myst",H*,,M(Arthur lange;; AAN),|
W83,The Ox-bow Incident,1943,Wellman,PN:Lamar Trotti,SFox,bnw,"West,Dram","AAN, H**",West,,|
W85,Buffalo Bill,1944,Wellman,PN:,SFox,bnw,West,aw,West,"B(Aeneas MacKenzie, Clements Ripley) C(Leon Shamroy)",|
W90,The Story of GI Joe,1945,Wellman,PN:,SU:,prc,Ctxx,aw,lc,,|
W98,Island in the Sky,1953,Wellman,Robert Fellows,SBatjac,bnw,Advt,H*,Greenland,C(Archie Stout),|
W100,The High and the Mighty,1954,Wellman,Wayne-Fellows,SBatjac,\Wcol,Advt,"H*, AAN dir","airplane, Pacific",M(Tiomkin; AA) W(Ernest K. Gann),|
W101,The Track of the Cat,1954,Wellman,PN:,SU:,prc,Ctxx,aw,lc,,|
WWo10,The Hunchback of Notre Dame,1923,Worsley,PN:,SUniversal,bws,Horr,H**,lc,,|
WWo20,The Perfect Crime,1928,M.Gordon,PN:,SU:,prc,CnR,,B(Israel Zangwill: The Big Ben Mystery) Er(D),|
Z2310,Gold Diggers,1923,UnYear23,PN:,SU:,prc,Musc,,NY,B(Avery Hopwood),|
EMH10,Janice Meredith,1924,E.Hopper,,SMGM,bws,Dram,H,"NJ, France; T(1790)",Le(153m),|
GLp10,Buddenbrooks,1924,Lamprecht,PN:,SU:,prc,Epic,aw,lc,B(Thomas Mann) Er(19xx),|
GLp15,Die Verufenen,1925,Lamprecht,PN:,SNational Film,prc,Dram,aw,"slums, Berlin, Germany",,|
GLp17,Die Unehlichen,1926,Lamprecht,PN:,SLamprecht Film,prc,Dram,aw,"slums, Berlin, Germany",,|
GLp30,Emil und die Detective,1931,Lamprecht,PN:,SU:,prc,Advt,aw,lc,Lang(Ge),|
FeL1,Le ballet mechanique,1924,F.Leger,PN:,SU:,prc,Ctxx,aw,lc,Ty(cubist),|
JR1,La Fille de l'Eau,1924,J.Renoir,J.Renoir,SU:,bws,Dram,,France,V(J.Renoir),|
JR5,Nana,1926,J.Renoir,PN:J.Renoir,SU:,bws,Dram,,,B(Zola),|
JR10,Charleston,1927,J.Renoir,PN:,SU:,prc,Ctxx,aw,lc,,|
JR15,The Little Match-seller,1928,J.Renoir,PN:,SU:,prc,Ctxx,aw,lc,,|
JR20,La Chienne,1931,J.Renoir,PN:Braunberger,SRichebe,bnw,Dram,H*,lc,B(George delaFourchadiere: La Chienne) Lang(\Fr),|
JR25,Boudu Sauv\'e Les Eaux,1932,J.Renoir,PN:,SU:,prc,Comd,"F100, H***","Seine, river, France","W(J.Renoir,) C(Marcel Lucien) Lang(\Fr) Alt(Boudu Saved from Drowning; USA)",|
JR30,Toni,1934,J.Renoir,PN:,SU:,prc,Ctxx,aw,lc,,|
JR33,La Nuit du Carrefour,1934?,J.Renoir,PN:,SU:,prc,Ctxx,aw,lc,,|
JR35,Madame Bovary,1934,J.Renoir,PN:,SU:,prc,Dram,aw,lc,,|
JR40,Le Crime de Monsieur Lange,1935,J.Renoir,PN:,SU:,prc,Ctxx,aw,lc,,|
JR45,Les Bas Fonds,1936,J.Renoir,PN:,SU:,prc,Ctxx,aw,lc,Alt(Lower Depths; USA) Alt(Vers Vita; Italy) Nt(clip in Cinema Paradiso),|
JR50,Une Partie de Campagne,1937,J.Renoir,PN:,SU:,bnw,"Romt, Dram",aw,"csd, France","M(Kosma) C(C.Renoir, Jean Bourgoin) W(Guy deMaupassant) Le(42m) Lang(\Fr) W(Jacques~Prevert)",|
JR55,La Grande Illusion,1937,J.Renoir,PN:Charles Spaak,SU:,bnw,,,T(1917),"Nt(multi-lingual:F,G,E) W(Charles Spaak,J.Renoir) M(Kosma) C(christian Matras, Claude Renoir)",|
JR60,La Marseillaise,1938,J.Renoir,PN:,SU:,prc,Hist,aw,"Paris, France",,|
JR65,La B\^ete Humaine,1938,J.Renoir,PN:,SU:,bnw,Dram,,"trains, France; Gare St.Lazare, Paris, France; T(1938)",B(Emile Zola),|
JR70,La regle du jeu,1939,J.Renoir,"P:C.Renoir, Rolang Hakim, Robert Hakim",SNEF,bnw,Dram,H***,"chateau, csd, France","Nt(reconstructed 1958) M(Mozart, Monsigny, SaintSaens: Danse Macabre, Monsigny: Le Deserteur) C(C.Renoir) Seen(5Feb1993) W(J.Renoir, Carl Koch) M(Kosma, Roger Desormieres) Lang(\Fr) Alt(The Rules of the Game; USA)",|
JR75,Swamp Water,1939,J.Renoir,Pichel,SFox,bnw,Horr,H**,,W(D.Nichols) C(Pev~Marley) Alt(The Man Who Came Back; \GB),|
JR77,This Land is Mine,1943,J.Renoir,"P:J.Renoir, D.Nichols",SRKO,bnw,Dram,H*,"town, Holland; T(1941)",Seen(9Aug1990),|
JR79,The Southerner,1944,J.Renoir,PN:,SU:,prc,Ctxx,aw,lc,,|
JR81,The Diary of a Chambermaid,1946,J.Renoir,"PN:Bogeaus, Burgess Meredith",SL:\Fr,bnw,Comd,H*,,B(Octave Mirbeau) W(Burgess Meredith),|
JR85,The Woman on the Beach,1947,J.Renoir,PN:,SU:,prc,Dram,aw,"beach, CA",M(Hanns Eisler),|
JR90,The River,1951,J.Renoir,PN:,SU:,prc,Ctxx,aw,India,,|
JR92,The Golden Coach,1952,J.Renoir,PN:Valentine Brosio,SHoche,\Tcol,Dram,H,"theater, Peru",C(Claude Renoir) M(Vivaldi) W(J.Renoir) B(Prosper Merrimee),|
JR94,French Cancan,1955,J.Renoir,PN:,SU:,col,Musc,aw,"Moulin Rouge, cabaret, Paris, France",,|
